SalesID,Date,ProductID,CustomerID,RegionID,Quantity,UnitPrice,Discount,Amount
2043,2024-10-12,P006,C003,S,1,1299,0,1299
2044,2024-10-26,P004,C004,S,5,5999,0,29995
2045,2025-01-09,P005,C006,E,5,2499,0,12495
2046,2024-02-22,P012,C016,W,4,2199,0,8796
2047,2024-10-13,P004,C009,N,4,5999,0.08,22076.32
2048,2024-12-22,P011,C004,S,2,2499,0,4998
2049,2024-03-04,P005,C014,S,2,2499,0.05,4748.1
2050,2025-06-24,P002,C006,E,3,14999,0,44997
2051,2024-06-01,P004,C005,E,2,5999,0.1,10798.2
2052,2024-05-05,P010,C015,E,2,18999,0.1,34198.2
2053,2025-03-21,P011,C002,N,3,2499,0,7497
2054,2024-02-14,P008,C008,W,4,1899,0.05,7216.2
2055,2024-06-20,P004,C016,W,3,5999,0.08,16557.24
2056,2024-06-07,P011,C012,W,4,2499,0,9996
2057,2024-11-10,P003,C014,S,2,3999,0.08,7358.16
2058,2024-04-11,P012,C012,W,1,2199,0.05,2089.05
2059,2024-09-04,P002,C005,E,5,14999,0.1,67495.5
2060,2024-05-13,P011,C012,W,1,2499,0.08,2299.08
2061,2025-06-23,P006,C002,N,4,1299,0.08,4780.32
2062,2024-05-26,P004,C012,W,2,5999,0,11998
2063,2025-08-26,P006,C002,N,5,1299,0,6495
2064,2024-12-12,P008,C009,N,3,1899,0.1,5127.3
2065,2025-12-17,P010,C011,E,2,18999,0,37998
2066,2024-12-17,P003,C014,S,3,3999,0,11997
2067,2024-10-04,P005,C001,N,1,2499,0,2499
2068,2025-10-14,P005,C001,N,3,2499,0,7497
2069,2024-11-10,P005,C016,W,4,2499,0.05,9496.2
2070,2024-03-04,P004,C012,W,3,5999,0,17997
2071,2025-06-10,P009,C001,N,5,1599,0.12,7035.6
2072,2024-05-28,P012,C011,E,1,2199,0.1,1979.1
2073,2025-06-01,P012,C009,N,1,2199,0.12,1935.12
2074,2025-04-20,P008,C011,E,1,1899,0,1899
2075,2025-02-14,P003,C004,S,3,3999,0.08,11037.24
2076,2024-04-25,P001,C010,S,2,24999,0,49998
2077,2024-05-27,P007,C001,N,1,799,0.1,719.1
2078,2025-01-23,P011,C013,N,3,2499,0,7497
2079,2025-03-01,P005,C001,N,3,2499,0,7497
2080,2024-12-14,P010,C003,S,5,18999,0,94995
2081,2024-07-17,P012,C001,N,4,2199,0,8796
2082,2024-11-14,P010,C010,S,4,18999,0,75996
2083,2024-01-26,P011,C006,E,3,2499,0,7497
2084,2025-07-20,P007,C001,N,3,799,0,2397
2085,2025-02-03,P002,C007,W,4,14999,0,59996
2086,2024-09-14,P007,C004,S,5,799,0,3995
2087,2025-11-11,P004,C009,N,4,5999,0.05,22796.2
2088,2024-08-05,P003,C007,W,2,3999,0,7998
2089,2024-09-10,P010,C008,W,2,18999,0.08,34958.16
2090,2024-03-04,P002,C004,S,5,14999,0,74995
2091,2025-08-08,P007,C003,S,5,799,0.05,3795.25
2092,2024-11-27,P008,C015,E,5,1899,0,9495
2093,2024-02-02,P004,C016,W,5,5999,0.12,26395.6
2094,2025-08-26,P002,C005,E,3,14999,0.08,41397.24
2095,2024-04-17,P003,C001,N,4,3999,0,15996
2096,2024-11-08,P008,C004,S,3,1899,0.08,5241.24
2097,2024-03-19,P008,C015,E,3,1899,0.12,5013.36
2098,2024-07-16,P007,C016,W,3,799,0,2397
2099,2025-06-15,P003,C013,N,4,3999,0.05,15196.2
2100,2024-02-14,P002,C011,E,2,14999,0,29998
2101,2024-10-26,P003,C007,W,3,3999,0.12,10557.36
2102,2025-03-02,P001,C010,S,5,24999,0.1,112495.5
2103,2025-05-12,P003,C003,S,3,3999,0,11997
2104,2024-07-02,P010,C005,E,5,18999,0.1,85495.5
2105,2024-10-20,P010,C002,N,5,18999,0,94995
2106,2025-12-25,P008,C010,S,1,1899,0.05,1804.05
2107,2024-01-12,P012,C010,S,1,2199,0.12,1935.12
2108,2025-06-19,P008,C008,W,2,1899,0,3798
2109,2024-01-12,P010,C006,E,4,18999,0,75996
2110,2024-10-12,P008,C002,N,3,1899,0.12,5013.36
2111,2025-06-01,P006,C009,N,1,1299,0.1,1169.1
2112,2024-03-23,P010,C006,E,3,18999,0.12,50157.36
2113,2025-05-09,P011,C007,W,3,2499,0,7497
2114,2024-08-23,P010,C003,S,4,18999,0,75996
2115,2024-08-22,P011,C011,E,1,2499,0,2499
2116,2025-07-10,P001,C010,S,4,24999,0.08,91996.32
2117,2025-01-02,P001,C009,N,1,24999,0,24999
2118,2024-02-24,P006,C009,N,5,1299,0,6495
2119,2025-03-09,P001,C005,E,3,24999,0,74997
2120,2024-04-13,P010,C005,E,5,18999,0,94995
2121,2025-12-01,P011,C014,S,4,2499,0,9996
2122,2024-04-01,P003,C002,N,5,3999,0,19995
2123,2024-11-19,P007,C009,N,1,799,0,799
2124,2024-06-18,P012,C009,N,3,2199,0,6597
2125,2024-07-01,P009,C009,N,5,1599,0,7995
2126,2025-10-03,P009,C003,S,3,1599,0,4797
2127,2024-03-14,P006,C009,N,2,1299,0.1,2338.2
2128,2025-06-07,P007,C007,W,5,799,0,3995
2129,2025-06-27,P002,C004,S,1,14999,0.1,13499.1
2130,2025-04-26,P009,C016,W,1,1599,0,1599
2131,2025-07-19,P009,C009,N,4,1599,0,6396
2132,2024-08-10,P001,C011,E,1,24999,0,24999
2133,2024-03-20,P003,C010,S,5,3999,0,19995
2134,2024-03-02,P008,C013,N,5,1899,0,9495
2135,2024-12-28,P011,C006,E,1,2499,0.12,2199.12
2136,2024-05-23,P003,C005,E,5,3999,0,19995
2137,2024-08-16,P003,C001,N,2,3999,0.1,7198.2
2138,2025-04-22,P011,C005,E,1,2499,0.08,2299.08
2139,2024-10-25,P005,C015,E,5,2499,0.05,11870.25
2140,2024-08-08,P002,C004,S,1,14999,0,14999
2141,2025-02-04,P004,C016,W,2,5999,0.12,10558.24
2142,2025-04-14,P008,C010,S,1,1899,0,1899
2143,2025-04-02,P002,C008,W,5,14999,0,74995
2144,2024-04-21,P005,C002,N,5,2499,0,12495
2145,2025-09-23,P002,C015,E,3,14999,0,44997
2146,2025-03-21,P011,C008,W,4,2499,0,9996
2147,2024-04-10,P003,C012,W,1,3999,0,3999
2148,2025-11-20,P001,C004,S,5,24999,0.08,114995.4
2149,2024-08-03,P004,C009,N,4,5999,0,23996
2150,2024-03-12,P003,C015,E,3,3999,0.08,11037.24
2151,2024-11-18,P010,C005,E,3,18999,0.05,54147.15
2152,2024-04-01,P004,C007,W,4,5999,0.1,21596.4
2153,2025-11-28,P008,C003,S,1,1899,0,1899
2154,2024-04-25,P006,C012,W,1,1299,0.05,1234.05
2155,2025-02-12,P006,C011,E,3,1299,0.1,3507.3
2156,2025-01-26,P004,C008,W,5,5999,0,29995
2157,2024-09-02,P011,C004,S,5,2499,0.12,10995.6
2158,2025-07-16,P002,C004,S,2,14999,0.1,26998.2
2159,2024-06-01,P009,C002,N,2,1599,0.05,3038.1
2160,2025-04-10,P007,C010,S,1,799,0.1,719.1
2161,2025-07-06,P010,C006,E,5,18999,0.05,90245.25
2162,2024-07-24,P007,C007,W,1,799,0,799
2163,2025-02-06,P004,C011,E,1,5999,0,5999
2164,2024-02-18,P006,C004,S,2,1299,0,2598
2165,2025-08-11,P002,C016,W,1,14999,0.1,13499.1
2166,2024-08-25,P007,C015,E,5,799,0,3995
2167,2024-07-16,P006,C004,S,5,1299,0.12,5715.6
2168,2024-02-28,P006,C013,N,2,1299,0.1,2338.2
2169,2025-08-26,P012,C004,S,2,2199,0,4398
2170,2024-06-04,P012,C014,S,4,2199,0.08,8092.32
2171,2024-01-08,P005,C012,W,4,2499,0.08,9196.32
2172,2024-11-20,P001,C009,N,4,24999,0.05,94996.2
2173,2024-09-28,P005,C015,E,5,2499,0.12,10995.6
2174,2025-08-06,P012,C016,W,5,2199,0,10995
2175,2024-10-08,P009,C013,N,4,1599,0.08,5884.32
2176,2024-06-03,P009,C013,N,3,1599,0.12,4221.36
2177,2024-05-27,P003,C002,N,3,3999,0.08,11037.24
2178,2025-12-11,P009,C015,E,1,1599,0.1,1439.1
2179,2024-08-25,P004,C006,E,3,5999,0.05,17097.15
2180,2025-10-26,P002,C013,N,4,14999,0,59996
